source,target,value
16803,548,705861100000.0
16803,566,817097300000.0
16803,610,727414340000.0
16803,619,545949480000.0
16803,702,533046660000.0
16803,703,529685970000.0
16803,707,516165000000.0
16803,708,910914950000.0
16803,720,756548800000.0
16803,729,740278600000.0
16803,731,754140100000.0
16803,773,520614670000.0
16803,838,587632350000.0
16803,839,484926980000.0
16803,844,669498540000.0
16803,845,767821940000.0
16803,846,672108500000.0
16803,847,598363900000.0
16803,874,842537600000.0
16803,875,596859000000.0
16803,876,880090100000.0
16803,877,880330340000.0
16803,878,540706100000.0
16803,879,624432840000.0
16803,880,672602500000.0
16803,881,671018600000.0
16803,882,650697640000.0
16803,883,623925130000.0
16803,884,714787000000.0
16803,885,713222900000.0
16803,886,925936400000.0
16803,888,582127400000.0
16803,889,582612000000.0
16803,890,745675550000.0
16803,891,748284500000.0
16803,892,937582900000.0
16803,893,925897700000.0
16803,894,1042755550000.0
16803,896,724400800000.0
16803,897,814595240000.0
16803,899,730245040000.0
16803,901,557992640000.0
16803,902,873777270000.0
16803,903,488761980000.0
16803,905,692148200000.0
16803,926,746805260000.0
16803,930,495167670000.0
16803,936,898088500000.0
16803,939,489645300000.0
16803,941,513241400000.0
16803,944,805751300000.0
16803,945,483126970000.0
16803,946,692049500000.0
16803,947,592130100000.0
16803,950,1108215100000.0
16803,952,756627500000.0
16803,1037,1091477770000.0
16803,1055,737913100000.0
16803,1099,576527400000.0
16803,1113,1913445800000.0
16803,1116,786990560000.0
16803,1158,477112240000.0
16803,1166,570588900000.0
16803,1195,467543200000.0
16803,1218,964749200000.0
16803,1220,917499150000.0
16803,1226,519904230000.0
16803,1329,2514310100000.0
16803,1334,1045254700000.0
16803,1335,500472800000.0
16803,1354,564868550000.0
16803,1355,575692540000.0
16803,1379,947707100000.0
16803,1380,947411800000.0
16803,1381,813380340000.0
16803,1383,728917540000.0
16803,1492,665042500000.0
16803,1493,1666898700000.0
16803,1495,521645230000.0
16803,1496,2989447000000.0
16803,1517,1080102750000.0
16803,1525,588986700000.0
16803,1526,644019260000.0
16803,1536,486056300000.0
16803,1538,737963900000.0
16803,1544,794509400000.0
16803,1546,1449796800000.0
16803,1553,508924430000.0
16803,1559,660521600000.0
16803,1657,571940100000.0
